time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-21 00:00:00+00:00,1.0,1.0,1,1
2023-01-23 00:00:00+00:00,,,3,2
2023-01-24 00:00:00+00:00,42.0,12.0,48,2
2023-01-25 00:00:00+00:00,14.0,6.0,45,1
2023-01-26 00:00:00+00:00,5.0,3.0,22,1
2023-01-27 00:00:00+00:00,9.0,6.0,38,3
2023-01-28 00:00:00+00:00,8.0,5.0,11,1
2023-01-29 00:00:00+00:00,5.0,3.0,10,2
2023-01-30 00:00:00+00:00,15.0,8.0,21,1
2023-01-31 00:00:00+00:00,4.0,3.0,2,1
2023-02-01 00:00:00+00:00,9.0,4.0,12,3
2023-02-02 00:00:00+00:00,5.0,3.0,11,3
2023-02-03 00:00:00+00:00,4.0,3.0,14,2
