time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-14 00:00:00+00:00,2,1,2,1
2023-01-15 00:00:00+00:00,1,1,1,1
2023-01-16 00:00:00+00:00,6,2,26,3
2023-01-18 00:00:00+00:00,1,1,2,1
2023-01-19 00:00:00+00:00,1,1,10,2
2023-01-20 00:00:00+00:00,3,3,4,1
2023-01-21 00:00:00+00:00,1,1,1,1
2023-01-23 00:00:00+00:00,0,0,3,2
2023-01-24 00:00:00+00:00,42,12,48,2
2023-01-25 00:00:00+00:00,14,6,45,1
2023-01-26 00:00:00+00:00,5,3,22,1
2023-01-27 00:00:00+00:00,9,6,38,3
2023-01-28 00:00:00+00:00,8,5,11,1
2023-01-29 00:00:00+00:00,5,3,10,2
2023-01-30 00:00:00+00:00,15,8,21,1
2023-01-31 00:00:00+00:00,4,3,2,1
2023-02-01 00:00:00+00:00,9,4,12,3
2023-02-02 00:00:00+00:00,5,3,11,3
2023-02-03 00:00:00+00:00,9,6,15,2
2023-02-04 00:00:00+00:00,3,3,3,1
2023-02-05 00:00:00+00:00,1,1,0,0
2023-02-06 00:00:00+00:00,2,2,3,1
2023-02-07 00:00:00+00:00,1,1,2,1
2023-02-08 00:00:00+00:00,13,4,13,1
2023-02-09 00:00:00+00:00,4,2,0,0
2023-02-10 00:00:00+00:00,6,3,0,0
2023-02-11 00:00:00+00:00,2,2,0,0
2023-02-12 00:00:00+00:00,6,2,0,0
2023-02-13 00:00:00+00:00,2,2,0,0
2023-02-14 00:00:00+00:00,1,1,0,0
2023-02-15 00:00:00+00:00,1,1,0,0
2023-02-16 00:00:00+00:00,2,2,1,1
2023-02-17 00:00:00+00:00,1,1,3,3
2023-02-18 00:00:00+00:00,1,1,0,0
2023-02-19 00:00:00+00:00,0,0,6,2
