samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock,w,s
4908,0,21,30,1,,57.29,1.4,1038420,58.77,3.3,344
4908,0,21,30,2,,2477.16,12.85,1092180,2492.31,6.4,415
4908,0,21,30,10,,3855.36,24.07,1110388,3883.0,24,418
4908,0,21,30,50,,4311.23,29.09,1175540,4344.0,97,421
4908,0,21,30,100,,4741.15,28.52,1265984,4774.0,196,422
4908,0,21,30,200,,5261.81,36.84,1519776,5305.0,477,424
4908,0,22,30,1,,48.75,1.4,1030712,50.23,3.4,335
4908,0,22,30,2,,2373.77,16.28,1085864,2392.38,6.6,406
4908,0,22,30,10,,3693.44,14.49,1098872,3711.0,23,408
4908,0,22,30,50,,4305.5,31.97,1163976,4341.0,93,411
4908,0,22,30,100,,4534.03,19.93,1253740,4558.0,194,413
4908,0,22,30,200,,4926.8,27.79,1545156,4960.0,518,414
