samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock,s
4908,0,21,30,1,,184.15,3.79,1879300,188.57,344
4908,0,21,30,2,,217.51,4.56,1947888,222.71,415
4908,0,21,30,10,,223.38,3.56,1951456,227.24,418
4908,0,21,30,50,,245.46,3.55,1956720,249.33,421
4908,0,21,30,100,,271.44,4.6,1959604,276.43,422
4908,0,21,30,200,,341.13,5.05,1962408,347.01,424
4908,0,22,30,1,,179.96,3.01,1853780,183.17,335
4908,0,22,30,2,,213.22,3.21,1921808,216.72,406
4908,0,22,30,10,,222.92,4.33,1924028,227.57,408
4908,0,22,30,50,,241.19,3.49,1928976,244.97,411
4908,0,22,30,100,,272.54,4.62,1932304,277.5,413
4908,0,22,30,200,,333.46,4.04,1935104,339.25,414
