samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock,s
4908,0,21,30,1,,31.21,1.84,1030188,33.48,3.3
4908,0,21,30,2,,1236.22,5.2,1083688,1286.24,3.6
4908,0,21,30,10,,1928.64,16.51,1082072,2013.64,14
4908,0,21,30,50,,2357.73,15.79,1083292,2421.54,59
4908,0,21,30,100,,2544.14,12.71,1084736,2608.8,116
4908,0,21,30,200,,2869.14,21.21,1085608,2951.53,246
4908,0,22,30,1,,32.95,2.11,1022192,36.84,3.4
4908,0,22,30,2,,1459.55,14.82,1072456,1511.49,3.4
4908,0,22,30,10,,2183.86,10.9,1071344,2257.14,13
4908,0,22,30,50,,2540.45,16.65,1073620,2644.27,60
4908,0,22,30,100,,2700.19,15.15,1073324,2838.01,120
4908,0,22,30,200,,2950.65,19.45,1075304,3047.43,261
