samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock
4908,0,21,30,1,,49.14,3.15,1745504,14.15
4908,0,21,30,2,,1607.92,8.19,2120536,85.81
4908,0,21,30,10,,2438.15,7.19,2120080,448.06
4908,0,21,30,50,,3074.46,12.17,2122612,174.56
4908,0,21,30,100,,3235.83,6.63,2123916,643.91
4908,0,21,30,200,,3717.38,15.93,2125896,464.97
4908,0,22,30,1,,49.39,27.43,1738172,13.94
4908,0,22,30,2,,1832.86,8.68,2109816,79.24
4908,0,22,30,10,,2693.16,5.95,2125804,637.64
4908,0,22,30,50,,3223.41,7.98,2113120,687.26
4908,0,22,30,100,,3378.8,10.15,2149740,576.82
4908,0,22,30,200,,3873.2,11.21,2117048,158.44
