samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock
4908,0,21,30,1,,262.58,4.52,1879568,271.82
4908,0,21,30,2,,261.98,5.0,1947856,271.75
4908,0,21,30,10,,294.35,5.04,1951592,315.54
4908,0,21,30,50,,321.19,5.4,1956640,343.89
4908,0,21,30,100,,366.54,6.94,1959544,442.84
4908,0,21,30,200,,436.67,4.63,1962712,531.52
4908,0,22,30,1,,247.04,4.15,1853632,254.35
4908,0,22,30,2,,297.85,6.81,1922004,761.78
4908,0,22,30,10,,305.45,5.3,1924176,341.86
4908,0,22,30,50,,318.83,5.52,1929220,378.76
4908,0,22,30,100,,377.94,5.62,1932172,461.98
4908,0,22,30,200,,442.23,5.12,1935080,938.02
