samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock,w
4908,0,21,30,1,,51.66,21.2,1873132,13.85,3.3
4908,0,21,30,2,,1514.04,5.06,2246412,342.58,6.4
4908,0,21,30,10,,2438.35,7.53,2299084,458.26,24
4908,0,21,30,50,,2906.31,8.97,2365140,492.6,97
4908,0,21,30,100,,3415.59,12.76,2456812,491.44,196
4908,0,21,30,200,,3804.86,15.43,2711208,517.82,477
4908,0,22,30,1,,45.68,6.92,1867100,10.39,3.4
4908,0,22,30,2,,1735.95,8.66,2238028,404.63,6.6
4908,0,22,30,10,,2859.31,15.6,2290892,338.55,23
4908,0,22,30,50,,3396.45,11.26,2353084,603.19,93
4908,0,22,30,100,,3490.07,12.84,2446280,584.55,194
4908,0,22,30,200,,4151.34,13.94,2736288,170.9,418
