samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock,w
4908,0,21,30,1,,268.2,4.8,1879560,367.24,344
4908,0,21,30,2,,297.64,6.18,1947880,362.94,415
4908,0,21,30,10,,290.44,4.29,1951636,302.11,418
4908,0,21,30,50,,311.8,5.48,1956504,335.62,421
4908,0,21,30,100,,361.44,5.41,1959660,606.5,422
4908,0,21,30,200,,441.84,6.09,1962572,511.76,424
4908,0,22,30,1,,286.99,6.61,1853800,301.74,335
4908,0,22,30,2,,316.19,5.0,1921972,335.83,406
4908,0,22,30,10,,324.28,5.78,1924112,393.49,408
4908,0,22,30,50,,300.08,4.84,1929108,314.86,411
4908,0,22,30,100,,350.16,5.37,1932248,490.44,413
4908,0,22,30,200,,430.47,7.35,1935120,941.98,414
