samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock
4908,0,20,30,1,,49.2,3.37,1621312,56.54
4908,0,20,30,2,,2820.61,13.84,1692296,2839.0
4908,0,20,30,10,,4314.14,38.27,1711956,4358.0
4908,0,20,30,50,,4635.19,46.25,1814320,4695.0
4908,0,20,30,100,,4866.31,52.81,1969312,4934.0
4908,0,20,30,200,,5366.95,47.82,2353800,5428.0
4908,0,21,30,1,,32.85,2.37,1038636,35.45
4908,0,21,30,2,,1107.65,6.97,1092172,1116.11
4908,0,21,30,10,,1789.81,12.43,1108428,1812.23
4908,0,21,30,50,,2171.08,18.26,1175128,2219.59
4908,0,21,30,100,,2318.01,7.27,1263664,2338.24
4908,0,21,30,200,,2730.21,19.22,1495740,2770.95
4908,0,22,30,1,,31.47,2.1,1030724,33.66
4908,0,22,30,2,,1213.82,10.37,1086044,1225.67
4908,0,22,30,10,,1886.18,17.17,1098784,1907.77
4908,0,22,30,50,,2352.94,8.97,1162456,2374.33
4908,0,22,30,100,,2506.61,23.03,1246568,2549.32
4908,0,22,30,200,,2768.26,11.04,1545416,2786.59
