samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock
4908,0,20,30,1,,317.04,4.17,1824200,322.05
4908,0,20,30,2,,372.15,5.23,1864568,383.74
4908,0,20,30,10,,358.26,5.75,1864264,366.47
4908,0,20,30,50,,365.8,9.98,1866720,376.53
4908,0,20,30,100,,416.18,4.83,1867924,422.69
4908,0,20,30,200,,479.93,6.08,1869948,486.7
4908,0,21,30,1,,201.23,3.93,1879592,206.75
4908,0,21,30,2,,214.95,6.15,1948000,221.82
4908,0,21,30,10,,221.65,3.37,1951620,227.22
4908,0,21,30,50,,246.01,3.93,1956572,250.9
4908,0,21,30,100,,274.4,3.47,1959728,280.83
4908,0,21,30,200,,343.31,3.65,1962572,348.84000000000003
4908,0,22,30,1,,197.81,4.23,1853720,202.45
4908,0,22,30,2,,213.41,4.27,1921852,218.68
4908,0,22,30,10,,208.62,3.77,1923888,212.74
4908,0,22,30,50,,244.6,3.58,1928952,250.78
4908,0,22,30,100,,268.46,3.09,1932244,272.67
4908,0,22,30,200,,336.16,4.21,1935260,342.24
