samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock
4908,0,20,30,1,,46.94,3.1,1621152,50.29
4908,0,20,30,2,,75.33,2.9,1692416,79.98
4908,0,20,30,10,,191.93,5.76,1711832,198.19
4908,0,20,30,50,,408.28,4.5,1814304,413.37
4908,0,20,30,100,,590.32,7.23,1969028,598.47
4908,0,20,30,200,,850.0,6.97,2337756,863.92
4908,0,21,30,1,,31.83,2.63,1038672,34.54
4908,0,21,30,2,,46.83,3.09,1092116,50.51
4908,0,21,30,10,,121.3,3.43,1110288,127.94
4908,0,21,30,50,,259.91,2.18,1175364,290.8
4908,0,21,30,100,,373.8,9.34,1265884,384.45
4908,0,21,30,200,,559.83,6.74,1519820,567.37
4908,0,22,30,1,,36.72,2.59,1030676,48.06
4908,0,22,30,2,,47.43,2.46,1086144,50.19
4908,0,22,30,10,,119.26,2.9,1098752,122.87
4908,0,22,30,50,,266.85,2.64,1164240,270.28
4908,0,22,30,100,,373.45,2.7,1253524,377.06
4908,0,22,30,200,,556.55,7.69,1545484,565.38
