samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock
4908,0,20,30,1,,318.68,4.91,1824692,324.81
4908,0,20,30,2,,342.37,5.6,1864732,349.37
4908,0,20,30,10,,355.57,5.06,1864316,362.69
4908,0,20,30,50,,381.28,6.78,1866852,389.22
4908,0,20,30,100,,418.1,9.28,1868204,432.25
4908,0,20,30,200,,503.61,8.28,1870024,516.28
4908,0,21,30,1,,195.37,3.38,1879368,199.01
4908,0,21,30,2,,211.56,3.83,1947968,215.79
4908,0,21,30,10,,219.19,4.77,1951596,224.32999999999998
4908,0,21,30,50,,242.59,4.2,1956508,248.43
4908,0,21,30,100,,271.03,3.68,1959608,275.33
4908,0,21,30,200,,338.11,4.08,1962604,342.87
4908,0,22,30,1,,200.35,4.45,1853704,207.35
4908,0,22,30,2,,218.22,4.83,1921964,231.89
4908,0,22,30,10,,215.76,4.43,1924268,222.54
4908,0,22,30,50,,239.41,3.93,1929176,244.35
4908,0,22,30,100,,268.89,5.56,1932216,275.09000000000003
4908,0,22,30,200,,330.92,3.79,1935148,335.23
