samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock
4908,0,1,30,1,,213.69,12.5,5722396,235.57999999999998
4908,0,1,30,2,,314.53,18.89,5968892,356.63
4908,0,1,30,10,,897.88,22.83,6000044,1125.72
4908,0,1,30,50,,1823.06,32.02,6207512,1879.18
4908,0,1,30,100,,2255.53,29.01,6920128,2294.16
4908,0,1,30,200,,3485.96,52.49,8245760,3584.95
4908,0,2,30,1,,230.41,11.19,6160196,254.15
4908,0,2,30,2,,332.07,15.22,6410312,390.42
4908,0,2,30,10,,862.58,16.93,6480864,891.33
4908,0,2,30,50,,1649.7,28.61,6887792,1687.86
4908,0,2,30,100,,2607.63,38.92,7405700,2666.75
4908,0,2,30,200,,3452.22,67.6,8863132,3563.19
4908,0,3,30,1,,149.9,8.96,5057928,165.9
4908,0,3,30,2,,306.13,15.47,5259504,334.75
4908,0,3,30,10,,714.8,20.56,5272792,785.13
4908,0,3,30,50,,1809.35,20.17,5484564,2080.34
4908,0,3,30,100,,2228.11,39.66,5862964,2308.66
4908,0,3,30,200,,3067.05,50.38,7154888,3148.44
4908,0,4,30,1,,204.47,10.05,4983620,222.36
4908,0,4,30,2,,297.25,9.63,5184180,317.09
4908,0,4,30,10,,624.94,14.88,5243708,648.61
4908,0,4,30,50,,1572.9,28.81,5348312,1649.87
4908,0,4,30,100,,2027.67,28.38,5979528,2069.83
4908,0,4,30,200,,3174.89,43.88,7122512,3266.2
4908,0,5,30,1,,144.93,8.35,4559980,157.07999999999998
4908,0,5,30,2,,276.86,12.19,4740072,300.03
4908,0,5,30,10,,674.94,16.4,4793740,705.15
4908,0,5,30,50,,1178.86,18.43,5063160,1201.46
4908,0,5,30,100,,2102.95,25.66,5298816,2152.38
4908,0,5,30,200,,2735.02,34.23,6442520,2794.65
4908,0,6,30,1,,145.02,11.32,4377912,161.29
4908,0,6,30,2,,194.28,8.38,4557112,203.17000000000002
4908,0,6,30,10,,637.48,12.05,4605424,657.43
4908,0,6,30,50,,1476.61,20.62,4719144,1698.23
4908,0,6,30,100,,2035.9,24.59,5191464,2250.04
4908,0,6,30,200,,2956.37,38.83,6166592,3046.04
4908,0,7,30,1,,145.09,7.58,4152600,163.43
4908,0,7,30,2,,205.51,10.55,4327180,220.31
4908,0,7,30,10,,574.3,11.76,4372284,618.62
4908,0,7,30,50,,1351.71,21.91,4619792,1388.18
4908,0,7,30,100,,1849.11,26.8,4818920,1961.43
4908,0,7,30,200,,2584.5,34.5,5886708,2647.72
4908,0,8,30,1,,140.25,12.12,4028172,161.38
4908,0,8,30,2,,234.13,11.04,4194676,255.6
4908,0,8,30,10,,551.89,11.58,4238764,568.31
4908,0,8,30,50,,1061.29,15.34,4475088,1080.87
4908,0,8,30,100,,1904.38,18.0,4780448,1975.99
4908,0,8,30,200,,2489.86,53.31,5745212,2563.36
4908,0,9,30,1,,119.1,9.37,3173908,133.19
4908,0,9,30,2,,208.67,7.72,3328960,224.02
4908,0,9,30,10,,480.6,5.31,3370100,491.24
4908,0,9,30,50,,957.85,6.98,3567764,973.58
4908,0,9,30,100,,1690.6,16.36,3845872,1795.52
4908,0,9,30,200,,2499.4,19.81,4512916,2781.44
4908,0,10,30,1,,150.79,9.04,3515296,162.57999999999998
4908,0,10,30,2,,231.06,9.93,3679392,255.13
4908,0,10,30,10,,453.08,7.55,3728780,463.47
4908,0,10,30,50,,1134.5,14.81,3920776,1168.39
4908,0,10,30,100,,1636.62,20.71,4166112,1677.93
4908,0,10,30,200,,2395.15,30.2,5009496,2495.35
4908,0,11,30,1,,152.06,5.96,3525968,187.49
4908,0,11,30,2,,192.59,7.64,3684048,205.65
4908,0,11,30,10,,553.7,15.59,3730944,579.65
4908,0,11,30,50,,917.32,15.44,3936056,933.8
4908,0,11,30,100,,1672.36,23.25,4126172,1747.23
4908,0,11,30,200,,2225.7,31.61,5074892,2272.39
4908,0,12,30,1,,123.51,9.48,3382580,141.06
4908,0,12,30,2,,209.25,11.04,3523912,227.74
4908,0,12,30,10,,562.83,8.1,3562372,652.91
4908,0,12,30,50,,1220.2,18.09,3767584,1333.2
4908,0,12,30,100,,1627.58,14.31,4057188,1653.25
4908,0,12,30,200,,2511.18,29.59,4730584,2770.8
4908,0,13,30,1,,100.13,5.54,2495468,113.93
4908,0,13,30,2,,155.13,7.13,2597512,166.81
4908,0,13,30,10,,392.88,8.47,2608752,470.33
4908,0,13,30,50,,752.41,8.47,2765548,764.69
