samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock
4908,0,1,30,1,,1397.3,25.37,6884652,1463.36
4908,0,1,30,2,,1455.29,25.87,7080852,1502.31
4908,0,1,30,10,,1455.62,19.44,7085608,1506.05
4908,0,1,30,50,,1820.04,31.79,7094892,1905.14
4908,0,1,30,100,,2078.13,29.97,7090284,2261.57
4908,0,1,30,200,,2518.34,35.95,7095172,2789.15
4908,0,2,30,1,,1587.4,30.24,6800796,1678.03
4908,0,2,30,2,,1775.34,30.57,6927428,2142.4
4908,0,2,30,10,,1908.66,34.91,6929356,2029.46
4908,0,2,30,50,,1601.78,25.54,6938792,1643.01
4908,0,2,30,100,,1898.52,28.28,6942412,1953.18
4908,0,2,30,200,,2388.56,31.85,6947664,2798.79
4908,0,3,30,1,,1237.58,22.01,6626852,1270.14
4908,0,3,30,2,,1226.71,19.21,6781924,1254.47
4908,0,3,30,10,,1548.3,25.73,6778348,1585.25
4908,0,3,30,50,,1374.38,22.76,6787196,1420.49
4908,0,3,30,100,,1668.03,26.08,6792920,1716.71
4908,0,3,30,200,,2222.78,32.73,6796376,2543.74
4908,0,4,30,1,,1177.88,25.27,6665112,1214.15
4908,0,4,30,2,,1474.12,24.47,6823120,1552.15
4908,0,4,30,10,,1647.58,26.84,6802196,1890.32
4908,0,4,30,50,,1625.13,25.13,6828696,1675.55
4908,0,4,30,100,,1598.32,24.84,6832592,1647.46
4908,0,4,30,200,,2038.22,27.13,6839764,2088.97
4908,0,5,30,1,,1266.81,21.76,6612192,1303.72
4908,0,5,30,2,,1466.43,23.1,6755912,1583.59
4908,0,5,30,10,,1329.76,24.23,6720368,1383.85
4908,0,5,30,50,,1324.22,28.41,6471516,1583.41
4908,0,5,30,100,,1659.45,25.87,6613664,1953.04
4908,0,5,30,200,,1641.34,24.05,6760956,1695.46
4908,0,6,30,1,,1113.13,29.73,6649784,1415.29
4908,0,6,30,2,,1043.76,17.91,6829440,1072.73
4908,0,6,30,10,,1201.86,18.19,6833880,1247.5
4908,0,6,30,50,,1313.69,23.18,6840400,1350.58
4908,0,6,30,100,,1732.19,33.07,6835056,1862.9
4908,0,6,30,200,,1665.49,21.52,6851864,1751.99
4908,0,7,30,1,,1024.64,22.48,6725936,1065.36
4908,0,7,30,2,,1181.33,17.96,6896824,1220.37
4908,0,7,30,10,,1382.45,22.62,6876536,1555.59
4908,0,7,30,50,,1209.6,18.58,6906300,1234.86
4908,0,7,30,100,,1339.01,17.96,6912236,1369.61
4908,0,7,30,200,,1879.14,24.65,6916356,2013.28
4908,0,8,30,1,,1182.64,17.69,6691076,1269.36
4908,0,8,30,2,,1322.43,23.53,6849768,1435.84
4908,0,8,30,10,,1230.28,22.29,6852144,1279.61
4908,0,8,30,50,,1046.52,15.52,6856144,1072.17
4908,0,8,30,100,,1408.19,18.94,6866260,1481.78
4908,0,8,30,200,,1425.5,18.91,6867192,1480.48
4908,0,9,30,1,,846.81,13.23,3568124,864.21
4908,0,9,30,2,,960.76,12.78,3652876,992.37
4908,0,9,30,10,,847.86,19.85,3653812,872.52
4908,0,9,30,50,,1070.18,14.64,3659516,1097.36
4908,0,9,30,100,,1096.29,12.74,3662192,1113.77
4908,0,9,30,200,,1276.53,11.92,3665248,1294.27
4908,0,10,30,1,,1076.18,19.55,3915856,1224.17
4908,0,10,30,2,,938.76,14.56,4000500,960.63
4908,0,10,30,10,,884.79,14.64,3997788,920.17
4908,0,10,30,50,,970.92,13.87,4005076,991.16
4908,0,10,30,100,,1275.45,14.6,4008444,1319.64
4908,0,10,30,200,,1521.27,18.82,4009320,1559.75
4908,0,11,30,1,,1068.22,13.38,3873604,1092.54
4908,0,11,30,2,,822.11,11.31,3948152,836.1
4908,0,11,30,10,,1101.03,17.34,3948472,1125.72
4908,0,11,30,50,,951.24,14.92,3949580,972.64
4908,0,11,30,100,,1303.86,13.08,3953372,1330.74
4908,0,11,30,200,,1530.11,18.85,3953904,1669.27
4908,0,12,30,1,,867.16,13.06,3738380,885.89
4908,0,12,30,2,,1095.67,13.38,3816080,1189.12
4908,0,12,30,10,,910.3,17.79,3816300,937.52
4908,0,12,30,50,,1172.37,14.87,3820440,1210.74
4908,0,12,30,100,,1154.02,14.97,3822160,1176.31
4908,0,12,30,200,,1522.56,18.47,3825644,1634.88
4908,0,13,30,1,,670.5,13.4,3342292,701.19
4908,0,13,30,2,,767.81,9.6,3418832,781.08
4908,0,13,30,10,,651.08,9.01,3418232,670.08
4908,0,13,30,50,,797.92,10.47,3421496,815.69
4908,0,13,30,100,,919.44,9.76,3424584,936.71
4908,0,13,30,200,,986.19,16.95,3427652,1007.41
4908,0,14,30,1,,581.08,8.14,3383164,591.01
4908,0,14,30,2,,694.14,9.29,3468092,710.03
4908,0,14,30,10,,701.15,10.95,3468072,718.61
4908,0,14,30,50,,648.76,8.92,3468184,659.84
4908,0,14,30,100,,809.19,8.84,3475192,825.97
4908,0,14,30,200,,1001.49,12.31,3479644,1035.32
4908,0,15,30,1,,608.8,12.42,3505216,627.48
4908,0,15,30,2,,522.93,7.85,3609272,532.73
4908,0,15,30,10,,644.11,14.59,3612068,665.51
4908,0,15,30,50,,726.58,13.69,3618692,762.25
4908,0,15,30,100,,744.24,8.38,3622964,754.93
4908,0,15,30,200,,915.54,13.89,3627544,954.16
4908,0,16,30,1,,660.51,7.96,3491248,671.49
4908,0,16,30,2,,657.34,15.57,3592052,678.24
4908,0,16,30,10,,791.01,14.49,3594088,817.59
4908,0,16,30,50,,807.67,15.05,3600368,831.34
4908,0,16,30,100,,836.92,14.81,3604556,865.72
4908,0,16,30,200,,1028.03,13.65,3608532,1067.98
4908,0,17,30,1,,608.42,9.76,3521960,624.46
4908,0,17,30,2,,590.56,10.46,3630544,605.41
4908,0,17,30,10,,699.05,8.62,3632644,727.51
4908,0,17,30,50,,634.27,11.2,3632632,651.57
4908,0,17,30,100,,732.04,12.64,3643336,746.97
4908,0,17,30,200,,899.91,9.19,3648668,914.61
4908,0,18,30,1,,568.97,9.19,3421704,581.92
4908,0,18,30,2,,575.26,13.03,3514632,592.36
4908,0,18,30,10,,580.7,11.78,3515188,601.3
4908,0,18,30,50,,684.04,8.77,3518992,696.68
4908,0,18,30,100,,744.74,13.09,3523444,795.05
4908,0,18,30,200,,791.42,12.33,3526648,807.26
4908,0,19,30,1,,457.43,6.54,1956528,467.12
4908,0,19,30,2,,534.19,7.09,2004212,556.74
4908,0,19,30,10,,503.45,8.36,2005312,516.0
4908,0,19,30,50,,521.74,7.05,2008452,532.1
4908,0,19,30,100,,586.51,7.2,2010292,596.35
4908,0,19,30,200,,713.39,7.42,2012060,723.91
4908,0,20,30,1,,423.67,5.93,1824620,431.54
4908,0,20,30,2,,473.9,8.71,1864760,484.16
4908,0,20,30,10,,485.98,5.6,1864332,493.68
4908,0,20,30,50,,518.24,12.11,1866924,534.9
4908,0,20,30,100,,554.69,7.91,1868168,565.31
4908,0,20,30,200,,662.01,6.57,1870084,671.02
4908,0,21,30,1,,250.67,5.46,1879516,256.64
4908,0,21,30,2,,238.96,4.09,1947896,244.01
4908,0,21,30,10,,261.49,4.13,1951692,266.27
4908,0,21,30,50,,315.32,4.88,1956668,321.21
4908,0,21,30,100,,352.16,4.31,1959756,358.2
4908,0,21,30,200,,444.02,4.97,1962508,450.71
4908,0,22,30,1,,232.52,5.32,1853768,239.56
4908,0,22,30,2,,231.13,5.71,1922060,237.52
4908,0,22,30,10,,263.85,4.64,1924108,269.15
4908,0,22,30,50,,298.29,4.54,1929116,303.55
4908,0,22,30,100,,331.76,4.36,1932112,337.52
4908,0,22,30,200,,393.59,4.75,1935180,399.58
