samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock
4908,0,1,30,1,,224.9,18.35,5722656,252.39
4908,0,1,30,2,,33721.81,256.25,5968816,34061.0
4908,0,1,30,10,,53164.93,1537.91,6034496,55122.0
4908,0,1,30,100,,51877.5,396.91,6920328,52363.0
4908,0,2,30,1,,218.33,17.54,6160256,249.7
4908,0,2,30,2,,35873.66,352.78,6410448,36580.0
4908,0,2,30,10,,50739.2,563.91,6484072,51393.0
4908,0,2,30,100,,59147.07,789.19,7423108,60055.0
4908,0,3,30,1,,184.51,15.9,5057952,207.93
4908,0,3,30,2,,25133.03,239.38,5259524,25726.0
4908,0,3,30,10,,36833.1,268.48,5317184,37581.0
4908,0,3,30,100,,38763.92,274.85,6036644,39103.0
4908,0,4,30,1,,159.62,10.21,4983696,176.96
4908,0,4,30,2,,25061.1,176.25,5184208,25639.0
4908,0,4,30,10,,34966.92,264.41,5243848,35482.0
4908,0,4,30,100,,40029.85,284.3,5982848,40394.0
4908,0,5,30,1,,159.86,7.59,4560192,173.41
4908,0,5,30,2,,18552.49,142.46,4740072,18835.0
4908,0,5,30,10,,30034.33,195.51,4793808,30689.0
4908,0,5,30,100,,32973.73,190.07,5301996,33236.0
4908,0,6,30,1,,171.82,8.46,4378104,189.27
4908,0,6,30,2,,18178.81,109.88,4557276,18625.0
4908,0,6,30,10,,27958.25,161.43,4588368,28621.0
4908,0,6,30,100,,31007.92,176.26,5283152,31233.0
4908,0,7,30,1,,133.17,6.57,4152688,144.14
4908,0,7,30,2,,19085.99,114.38,4327264,19602.0
4908,0,7,30,10,,27530.71,124.66,4339168,27988.0
4908,0,7,30,100,,31560.86,177.16,4962812,32201.0
4908,0,8,30,1,,134.36,5.54,4028176,156.89
4908,0,8,30,2,,15204.84,84.85,4194620,15428.0
4908,0,8,30,10,,23151.78,155.33,4238828,23577.0
4908,0,8,30,100,,28009.28,167.86,4828304,28664.0
4908,0,9,30,1,,102.73,6.9,3173984,115.49000000000001
4908,0,9,30,2,,11694.02,48.18,3329160,11802.0
4908,0,9,30,10,,18412.82,99.58,3353248,19003.0
4908,0,9,30,100,,20370.21,108.29,3797132,20906.0
4908,0,10,30,1,,116.19,4.44,3515340,122.92
4908,0,10,30,2,,12330.4,50.49,3679460,12424.0
4908,0,10,30,10,,18588.08,92.52,3728784,18722.0
4908,0,10,30,100,,21699.2,135.92,4239708,21912.0
4908,0,11,30,1,,130.29,6.73,3525888,141.84
4908,0,11,30,2,,13219.46,91.79,3668448,13746.0
4908,0,11,30,10,,18330.93,95.64,3683536,18479.0
4908,0,11,30,100,,23029.43,168.71,4249236,23771.0
4908,0,12,30,1,,110.26,5.36,3382772,117.63
4908,0,12,30,2,,12820.97,78.42,3523748,13297.0
4908,0,12,30,10,,16965.0,99.78,3562404,17106.0
4908,0,12,30,100,,21962.42,107.99,4057176,22638.0
4908,0,13,30,1,,85.7,8.07,2495180,96.08
4908,0,13,30,2,,7135.66,32.31,2597540,7324.0
4908,0,13,30,10,,9550.88,28.79,2614396,9686.0
4908,0,13,30,100,,12282.04,73.42,2943384,12736.0
4908,0,14,30,1,,77.02,6.16,2347256,84.34
4908,0,14,30,2,,6543.45,42.57,2446932,6846.0
4908,0,14,30,10,,10077.11,31.7,2432116,10480.0
4908,0,14,30,100,,11431.93,95.63,2794360,11908.0
4908,0,15,30,1,,76.28,6.94,2185504,84.27
4908,0,15,30,2,,5978.08,22.03,2286184,6139.0
4908,0,15,30,10,,9487.78,60.75,2271232,9848.0
4908,0,15,30,100,,9564.08,35.43,2656920,9747.0
4908,0,16,30,1,,79.19,6.61,2438820,87.59
4908,0,16,30,2,,6568.11,22.58,2551140,6606.0
4908,0,16,30,10,,11940.98,19.27,2569536,12413.0
4908,0,16,30,100,,13951.88,95.62,2929928,14465.0
4908,0,17,30,1,,71.14,7.15,2103752,79.13
4908,0,17,30,2,,5148.47,13.37,2207976,5173.0
4908,0,17,30,10,,9076.19,46.3,2235180,9425.0
4908,0,17,30,100,,8789.61,28.33,2531156,8885.0
4908,0,18,30,1,,74.49,5.5,2016284,81.02
4908,0,18,30,2,,4120.43,15.56,2103176,4152.0
4908,0,18,30,10,,7736.2,25.28,2106092,8025.0
4908,0,18,30,100,,9076.43,25.43,2415632,9427.0
4908,0,19,30,1,,75.81,3.55,1671928,131.23
4908,0,19,30,2,,3521.13,15.98,1751764,3554.39
4908,0,19,30,10,,6150.0,24.59,1766484,6352.0
4908,0,19,30,100,,6959.49,23.96,2028204,7206.0
4908,0,20,30,1,,49.2,3.37,1621312,56.54
4908,0,20,30,2,,2820.61,13.84,1692296,2839.0
4908,0,20,30,10,,4314.14,38.27,1711956,4358.0
4908,0,20,30,100,,4866.31,52.81,1969312,4934.0
4908,0,21,30,1,,32.85,2.37,1038636,35.45
4908,0,21,30,2,,1107.65,6.97,1092172,1116.11
4908,0,21,30,10,,1789.81,12.43,1108428,1812.23
4908,0,21,30,100,,2318.01,7.27,1263664,2338.24
4908,0,22,30,1,,31.47,2.1,1030724,33.66
4908,0,22,30,2,,1213.82,10.37,1086044,1225.67
4908,0,22,30,10,,1886.18,17.17,1098784,1907.77
4908,0,22,30,100,,2506.61,23.03,1246568,2549.32
