samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock
4908,0,1,30,1,,1258.62,24.59,6890684,1319.81
4908,0,1,30,2,,1379.15,27.98,7080768,1458.54
4908,0,1,30,10,,1525.78,34.62,7085648,1606.08
4908,0,1,30,100,,1646.58,24.2,7104540,1682.29
4908,0,2,30,1,,1386.59,29.24,6800936,1477.03
4908,0,2,30,2,,1450.53,25.48,6931168,1523.62
4908,0,2,30,10,,1617.93,32.64,6933460,1685.71
4908,0,2,30,100,,1747.6,36.85,6945812,1794.58
4908,0,3,30,1,,1164.64,18.01,6631028,1217.83
4908,0,3,30,2,,1249.14,26.52,6779984,1299.26
4908,0,3,30,10,,1194.72,19.56,6780560,1228.28
4908,0,3,30,100,,1355.8,23.98,6793140,1383.94
4908,0,4,30,1,,1099.4,17.91,6669332,1142.45
4908,0,4,30,2,,1183.47,21.08,6823280,1234.17
4908,0,4,30,10,,1244.32,21.91,6823864,1299.07
4908,0,4,30,100,,1410.05,25.64,6836884,1456.25
4908,0,5,30,1,,980.76,15.46,6609960,1005.13
4908,0,5,30,2,,1228.93,24.21,6758196,1285.68
4908,0,5,30,10,,1101.16,17.56,6756632,1133.81
4908,0,5,30,100,,1321.28,20.58,6769496,1400.76
4908,0,6,30,1,,1158.77,23.65,6675612,1226.84
4908,0,6,30,2,,1298.46,29.94,6833492,1413.81
4908,0,6,30,10,,1089.04,16.42,6833952,1133.64
4908,0,6,30,100,,1303.8,24.54,6845268,1418.09
4908,0,7,30,1,,976.55,22.45,6729960,1005.03
4908,0,7,30,2,,999.42,16.4,6896660,1041.6
4908,0,7,30,10,,1036.8,16.49,6897372,1081.77
4908,0,7,30,100,,1208.73,25.04,6911996,1275.72
4908,0,8,30,1,,899.81,16.44,6691420,930.05
4908,0,8,30,2,,1047.99,21.9,6849752,1085.89
4908,0,8,30,10,,1057.89,19.32,6852012,1092.56
4908,0,8,30,100,,1165.84,19.38,6866552,1204.01
4908,0,9,30,1,,664.79,11.97,3571324,679.7
4908,0,9,30,2,,799.53,13.6,3652836,836.75
4908,0,9,30,10,,774.79,12.0,3653868,800.98
4908,0,9,30,100,,969.78,15.7,3661752,1079.95
4908,0,10,30,1,,713.05,13.47,3919992,728.81
4908,0,10,30,2,,774.61,12.93,4000440,793.26
4908,0,10,30,10,,774.44,13.46,4001248,793.9
4908,0,10,30,100,,936.21,14.62,4008472,959.87
4908,0,11,30,1,,829.68,18.3,3875432,882.6
4908,0,11,30,2,,813.2,12.4,3948208,837.8
4908,0,11,30,10,,926.44,13.44,3948492,983.63
4908,0,11,30,100,,1022.04,13.17,3955248,1046.85
4908,0,12,30,1,,777.92,11.25,3741768,807.09
4908,0,12,30,2,,774.75,10.37,3816024,796.84
4908,0,12,30,10,,805.29,11.99,3816320,826.73
4908,0,12,30,100,,983.37,16.79,3822160,1013.01
4908,0,13,30,1,,554.39,9.38,3342368,570.38
4908,0,13,30,2,,569.65,7.61,3418812,581.19
4908,0,13,30,10,,605.95,12.01,3418328,627.43
4908,0,13,30,100,,819.23,14.63,3424532,864.2
4908,0,14,30,1,,554.49,12.75,3383160,585.74
4908,0,14,30,2,,564.44,9.89,3468124,580.05
4908,0,14,30,10,,566.4,8.93,3467856,580.6
4908,0,14,30,100,,644.9,7.99,3475104,657.5
4908,0,15,30,1,,465.68,7.35,3505148,475.96
4908,0,15,30,2,,520.87,8.46,3609524,535.5
4908,0,15,30,10,,535.44,8.07,3612024,551.32
4908,0,15,30,100,,613.05,8.72,3622908,628.45
4908,0,16,30,1,,533.06,7.3,3491340,547.65
4908,0,16,30,2,,513.47,9.44,3592164,524.37
4908,0,16,30,10,,592.26,9.42,3594020,649.12
4908,0,16,30,100,,695.65,10.41,3604360,715.41
4908,0,17,30,1,,447.15,7.03,3521652,457.63
4908,0,17,30,2,,460.07,10.96,3630240,473.81
4908,0,17,30,10,,482.3,7.92,3632460,493.56
4908,0,17,30,100,,609.62,9.12,3643432,625.28
4908,0,18,30,1,,565.61,12.19,3421588,675.43
4908,0,18,30,2,,510.54,7.81,3514456,533.05
4908,0,18,30,10,,469.47,9.8,3515040,484.59
4908,0,18,30,100,,565.08,10.1,3523340,579.8
4908,0,19,30,1,,386.09,6.92,1956632,405.42
4908,0,19,30,2,,391.73,5.44,2004312,401.38
4908,0,19,30,10,,465.54,6.23,2005392,487.72
4908,0,19,30,100,,488.55,6.52,2010260,500.49
4908,0,20,30,1,,317.04,4.17,1824200,322.05
4908,0,20,30,2,,372.15,5.23,1864568,383.74
4908,0,20,30,10,,358.26,5.75,1864264,366.47
4908,0,20,30,100,,416.18,4.83,1867924,422.69
4908,0,21,30,1,,201.23,3.93,1879592,206.75
4908,0,21,30,2,,214.95,6.15,1948000,221.82
4908,0,21,30,10,,221.65,3.37,1951620,227.22
4908,0,21,30,100,,274.4,3.47,1959728,280.83
4908,0,22,30,1,,197.81,4.23,1853720,202.45
4908,0,22,30,2,,213.41,4.27,1921852,218.68
4908,0,22,30,10,,208.62,3.77,1923888,212.74
4908,0,22,30,100,,268.46,3.09,1932244,272.67
